,ch4_year,ch4_month,ch4_decimal_date,ch4_average,ch4_average_unc,ch4_trend,ch4_trend_unc
463,2022,2,2022.125,1907.68,1.6,1906.7,0.66
464,2022,3,2022.208,1908.86,1.65,1907.95,0.69
465,2022,4,2022.292,1909.49,0.99,1909.18,0.72
466,2022,5,2022.375,1907.83,1.15,1910.36,0.75
467,2022,6,2022.458,1905.18,1.4,1911.48,0.78
468,2022,7,2022.542,1904.46,1.66,1912.56,0.81
469,2022,8,2022.625,1908.78,1.76,1913.62,0.85
470,2022,9,2022.708,1915.46,1.39,1914.64,0.88
471,2022,10,2022.792,1920.11,1.4,1915.64,0.91
472,2022,11,2022.875,1923.75,1.08,1916.64,0.94
473,2022,12,2022.958,1924.54,1.07,1917.65,0.96
474,2023,1,2023.042,1922.06,0.99,1918.69,0.98
475,2023,2,2023.125,1920.29,-9.99,1919.7,-9.99
476,2023,3,2023.208,1919.87,-9.99,1920.73,-9.99
477,2023,4,2023.292,1920.76,-9.99,1921.81,-9.99
478,2023,5,2023.375,1920.15,-9.99,1922.91,-9.99
479,2023,6,2023.458,1916.27,-9.99,1924.02,-9.99
480,2023,7,2023.542,1915.07,-9.99,1925.14,-9.99
481,2023,8,2023.625,1919.41,-9.99,1926.26,-9.99
